checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,65,9,0.8099489212036133,0.6831246018409729,"{4: 4, 0: 36, 6: 1, 3: 7, 1: 11, 2: 2, 5: 1, 8: 1, 7: 2}",14.96
13000,35,12,0.8387891054153442,0.5079331994056702,"{1: 8, 6: 7, 10: 1, 2: 8, 8: 1, 9: 1, 0: 4, 11: 1, 7: 1, 5: 1, 4: 1, 3: 1}",12.13
23000,19,7,0.7470257878303528,0.38324862718582153,"{0: 10, 2: 2, 6: 1, 1: 3, 5: 1, 4: 1, 3: 1}",12.48
33000,15,5,0.8305501937866211,0.5336781740188599,"{4: 2, 0: 3, 2: 4, 3: 4, 1: 2}",12.03
43000,19,6,0.8324698209762573,0.6295178532600403,"{4: 3, 1: 2, 3: 2, 2: 2, 0: 9, 5: 1}",12.35
53000,27,5,0.774789035320282,0.547774076461792,"{3: 4, 0: 14, 1: 5, 2: 3, 4: 1}",12.23
63000,20,5,0.8246117830276489,0.5677216053009033,"{3: 3, 1: 5, 2: 4, 0: 5, 4: 3}",12.28
73000,15,5,0.7944114208221436,0.5076875686645508,"{2: 3, 1: 5, 0: 2, 4: 3, 3: 2}",12.08
83000,9,5,0.8094260692596436,0.6517947912216187,"{2: 1, 1: 4, 0: 2, 4: 1, 3: 1}",12.04
93000,10,4,0.8063771724700928,0.643329918384552,"{3: 2, 2: 4, 1: 2, 0: 2}",12.08
103000,6,2,0.7183962464332581,0.6658186912536621,"{1: 1, 0: 5}",12.07
113000,4,1,0.7021920084953308,0.7021920084953308,{0: 4},12.23
123000,3,1,0.7284736633300781,0.7284736633300781,{0: 3},12.12
133000,3,1,0.7162389755249023,0.7162389755249023,{0: 3},12.65
143000,1,1,nan,nan,{0: 1},12.18
