checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,24,4,0.758560836315155,0.5338993072509766,"{2: 9, 1: 9, 0: 4, 3: 2}",14.86
13000,46,10,0.835247278213501,0.5665404796600342,"{2: 3, 8: 1, 9: 1, 1: 13, 3: 2, 0: 12, 6: 4, 4: 2, 7: 1, 5: 7}",12.43
23000,43,11,0.8174942135810852,0.11201992630958557,"{5: 3, 1: 3, 0: 3, 7: 10, 4: 2, 8: 1, 9: 1, 3: 7, 6: 1, 10: 4, 2: 8}",13.08
33000,26,9,0.8544762134552002,0.5115556120872498,"{3: 3, 4: 3, 2: 3, 8: 1, 6: 5, 1: 3, 7: 1, 5: 3, 0: 4}",13.07
43000,23,7,0.830870509147644,0.6117912530899048,"{0: 8, 6: 5, 3: 3, 1: 3, 2: 2, 5: 1, 4: 1}",13.36
53000,24,10,0.8409828543663025,0.5499943494796753,"{6: 2, 2: 5, 9: 7, 1: 2, 4: 2, 7: 1, 0: 2, 8: 1, 5: 1, 3: 1}",13.12
63000,20,8,0.79628986120224,0.3253399133682251,"{7: 1, 4: 6, 0: 6, 2: 2, 5: 1, 1: 2, 3: 1, 6: 1}",12.97
73000,29,11,0.8307098150253296,0.5255504250526428,"{0: 2, 2: 6, 9: 2, 4: 3, 1: 10, 5: 1, 6: 1, 7: 1, 8: 1, 10: 1, 3: 1}",13.01
83000,28,9,0.7676604986190796,0.3620758652687073,"{8: 1, 1: 12, 3: 3, 4: 4, 0: 4, 5: 1, 6: 1, 7: 1, 2: 1}",13.03
93000,20,6,0.6713111400604248,0.21700753271579742,"{4: 1, 2: 11, 0: 4, 5: 2, 3: 1, 1: 1}",13.12
103000,16,5,0.5666304230690002,0.04145393148064613,"{3: 1, 1: 10, 2: 2, 0: 2, 4: 1}",13.06
113000,15,5,0.5206688046455383,0.15839914977550507,"{3: 1, 0: 11, 4: 1, 2: 1, 1: 1}",13.14
123000,13,4,0.40808284282684326,0.025312600657343864,"{3: 1, 0: 10, 2: 1, 1: 1}",13.12
133000,13,3,0.36972543597221375,0.15669657289981842,"{0: 11, 1: 1, 2: 1}",13.12
143000,14,4,0.4599428176879883,0.15527789294719696,"{3: 1, 0: 11, 2: 1, 1: 1}",13.11
